,Watched,Date,Day,Rating,movieId,title,genres,release_date,vote_average,vote_count,keywords
87,with family,01/02/2019,friday,3,38117,Beastly,"Drama, Fantasy, Romance",21/01/2011,5.9,880,"based on novel, love, beautiful woman, curse, teenager"
88,with family,13/04/2018,friday,3,34016,She's Out of My League,"Comedy, Romance",11/03/2010,5.9,540,"confidence, romantic comedy, dating, insecurity, airport security"
89,with family,20/11/2018,tuesday,3,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,"Fantasy, Action, Adventure, Comedy",01/06/2016,5.8,980,"brother brother relationship, turtle, sequel, based on comic, ninja"
90,with gf,13/06/2018,wednesday,3,80271,LOL,"Drama, Comedy, Romance",10/02/2012,5.8,900,"coming of age, mother daughter relationship, teen movie, teenager, based on movie"
91,with family,12/05/2018,saturday,3,33909,Wall Street: Money Never Sleeps,"Drama, Crime",02/09/2010,5.8,500,duringcreditsstinger
92,with family,07/04/2019,sunday,3,126889,Alien: Covenant,"Horror, Science Fiction, Thriller",09/05/2017,5.7,2680,"android, space travel, alien life-form, infection, egg"
93,with family,22/04/2019,monday,3,28211,Chloe,"Drama, Thriller, Mystery",25/03/2009,5.9,510,"toronto, lesbian, remake of french film, suspicious wife, female doctor"
94,Alone,10/04/2019,wednesday,3,50619,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Fantasy, Romance",15/03/2011,5.8,2620,"based on novel, vampire, werewolf, duringcreditsstinger, fang vamp"
95,with family,06/04/2019,saturday,3,58224,Mr. Popper's Penguins,"Comedy, Family",17/06/2011,5.7,780,"taxi, restaurant, zoo, penguin, ex husband"
96,Alone,14/07/2018,saturday,3,869,Planet of the Apes,"Thriller, Science Fiction, Action, Adventure",25/07/2001,5.6,1270,"gorilla, space marine, space suit, revolution, chimp"
97,with family,09/12/2018,sunday,3,331313,Keeping Up with the Joneses,"Action, Comedy",20/10/2016,5.9,610,suburb
98,Alone,20/02/2019,wednesday,3,152760,The Monuments Men,"War, Drama, History, Action",24/01/2014,5.8,1540,"world war ii, nazis, art theft, post world war ii"
99,with gf,30/03/2018,friday,4,308639,Dope,"Crime, Drama, Comedy",19/06/2015,7.2,700,"california, hip-hop, harvard university, geek, coming of age"
100,with gf,10/06/2018,sunday,4,1878,Fear and Loathing in Las Vegas,"Adventure, Drama, Comedy",22/05/1998,7.2,1320,"gonzo journalist, sweaty face, fake identity, wedding chapel, grapefruit"
101,with gf,05/08/2018,sunday,4,152584,Blue Is the Warmest Color,"Romance, Drama",09/10/2013,7.2,1110,"france, homophobia, love, lesbian relationship, gay interest"
102,Alone,30/04/2018,monday,4,9473,"South Park: Bigger, Longer & Uncut","Animation, Comedy, Music",30/06/1999,7.1,920,"gay, mount rushmore national memorial, swear word, hell, world supremacy"
103,Alone,28/12/2018,friday,4,2501,The Bourne Identity,"Action, Drama, Mystery, Thriller",14/06/2002,7.3,3640,"paris, barcelona spain, assassin, based on novel, secret identity"
104,with gf,27/10/2018,saturday,4,65754,The Girl with the Dragon Tattoo,"Thriller, Crime, Mystery, Drama",14/12/2011,7.2,2480,"rape, journalist, based on novel, journalism, hacker"
105,Alone,10/05/2018,thursday,4,8055,The Reader,"Drama, Romance",10/12/2008,7.2,840,"germany, war crimes, trial, female prisoner, teenager"
106,Alone,08/10/2018,monday,4,68722,The Master,Drama,07/09/2012,7,720,"post traumatic stress  disorder, sexual obsession, postwar period, drifter, alcoholic"
107,Alone,22/03/2019,friday,4,601,E.T. the Extra-Terrestrial,"Science Fiction, Adventure, Family, Fantasy",03/04/1982,7.3,3360,"farewell, homesickness, nasa, extraterrestrial technology, operation"
108,with family,09/07/2018,monday,4,401,Garden State,"Comedy, Drama, Romance",28/07/2004,7.1,630,"new jersey, paraplegic, loss of mother, expensive restaurant, pop culture"
109,Alone,12/10/2018,friday,4,82690,Wreck-It Ralph,"Family, Animation, Comedy, Adventure",01/11/2012,7.1,4660,"support group, product placement, bullying, racing, arcade"
110,with gf,06/06/2018,wednesday,4,297762,Wonder Woman,"Action, Adventure, Fantasy",30/05/2017,7.2,5020,"dc comics, hero, greek mythology, island, world war i"
111,with gf,02/09/2018,sunday,4,69,Walk the Line,"Drama, Music, Romance",13/09/2005,7.3,730,"germany, prison, music record, adultery, country music"
112,with gf,11/09/2018,tuesday,4,5825,National Lampoon's Christmas Vacation,Comedy,01/12/1989,7.1,670,"holiday, boss, cigar, neighbor, christmas eve"
113,with gf,25/09/2018,tuesday,4,76341,Mad Max: Fury Road,"Action, Adventure, Science Fiction, Thriller",13/05/2015,7.3,9630,"future, chase, post-apocalyptic, dystopia, australia"
114,with gf,25/10/2018,thursday,4,813,Airplane!,Comedy,02/07/1980,7.1,1100,"chicago, alcohol, cataclysm, guitar, medicine"
115,with gf,03/02/2019,sunday,4,44826,Hugo,"Adventure, Drama, Family",22/11/2011,7,2200,"library, clock, film director, key, toy"
116,with gf,08/03/2019,friday,4,522,Ed Wood,"Comedy, Drama, History",27/09/1994,7.3,640,"individual, taxi, transsexuality, fortune teller, film business"
117,with gf,24/04/2019,wednesday,4,328387,Nerve,"Mystery, Adventure, Crime",27/07/2016,7.1,2260,"based on novel, technology, internet, hacking, teenager"
118,Alone,05/05/2018,saturday,4,300671,13 Hours: The Secret Soldiers of Benghazi,"Action, Drama, History, Thriller, War",13/01/2016,7,960,"based on novel, assault rifle, mercenary, libya, biography"
119,Alone,30/05/2018,wednesday,4,376660,The Edge of Seventeen,"Comedy, Drama",18/11/2016,7.3,950,"friendship, high school, loneliness, teen angst, coming of age"
120,Alone,25/08/2018,saturday,4,239571,The Best of Me,"Drama, Romance",16/10/2014,7.2,780,high school sweetheart
121,Alone,10/11/2018,saturday,4,161,Ocean's Eleven,"Thriller, Crime",07/12/2001,7.2,3860,"prison, pickpocket, strip club, con artist, atlantic city"
122,Alone,30/12/2018,sunday,4,8329,[REC],"Horror, Mystery",10/04/2007,7.1,950,"terror, obsession, camcorder, firemen, religion and supernatural"
123,Alone,10/02/2019,sunday,4,10112,The Aristocats,"Animation, Comedy, Family, Adventure",23/12/1970,7.1,1290,"paris, cat, butler, return, suspension"
124,Alone,05/03/2019,tuesday,4,68734,Argo,"Drama, Thriller",11/10/2012,7.1,3470,"cia, wife husband relationship, revolution, hiding place, press conference"
125,with family,09/05/2019,thursday,4,324849,The Lego Batman Movie,"Action, Animation, Comedy, Family, Fantasy",08/02/2017,7.2,1470,"superhero, based on comic, based on toy, spin off, super powers"
126,with family,21/09/2018,friday,4,24428,The Avengers,"Science Fiction, Action, Adventure",25/04/2012,7.4,12000,"new york, shield, marvel comic, superhero, based on comic"
127,with gf,18/01/2019,friday,4,11886,Robin Hood,"Animation, Family",08/11/1973,7,1160,"hero, fox, robin hood, forest, right and justice"
128,Alone,11/03/2019,monday,4,9444,Anastasia,"Animation, Family",20/11/1997,7.4,1480,"tzar, musical, russian revolution, train explosion, foreign language adaptation"
129,with gf,20/10/2018,saturday,4,9693,Children of Men,"Drama, Action, Thriller, Science Fiction",22/09/2006,7.4,2120,"police state, hippie, rebel, miracle, future"
130,with gf,13/02/2019,wednesday,4,2292,Clerks,Comedy,13/09/1994,7.4,770,"salesclerk, loser, aftercreditsstinger"
131,Alone,02/11/2018,friday,4,119450,Dawn of the Planet of the Apes,"Science Fiction, Action, Drama, Thriller",26/06/2014,7.3,4510,"leader, colony, post-apocalyptic, dystopia, forest"
132,with family,28/02/2019,thursday,4,421,The Life Aquatic with Steve Zissou,"Adventure, Comedy, Drama",10/12/2004,7.1,780,"ocean, film making, loss of mother, cynic, red cap"
